,,
,,
,,
,,#DIV/0!
Apricot / Kuriimutora-san,Choco cornet tunnel,3.00
,Cushion (yellow),4.50
,Dice cube,8.00
,Fairy-tale parasol,21.45
,Fluff-thing teaser,16.53
,Orange cube,5.50
,Pancake cushion,6.00
,Plum cushion (red),126.00
,Space heater,3.67
,Tower of treats,1.00
Bandit / Sabigara-san,Biscuit mat,2.00
,Bucket (blue),1.67
,Bucket (red),1.50
,Bureau with pot,3.61
,Burger cushion,3.33
,Cake box,3.00
,Cardboard choo-choo,2.22
,Cardboard house,27.10
,Carp tunnel,2.33
,Cat condo complex,13.55
,Cat metropolis,24.09
,Cowboy hat,2.75
,Cushion (green),3.50
,Hammock (pink),3.60
,Hammock (woven),24.29
,Heating stove,32.95
,Hot mat (large),101.33
,Kick toy (bunny),28.76
,Kick toy (mouse),47.50
,Kotatsu,2.40
,Mister dragonfly,3.60
,Mister mouse,3.60
,Pancake cushion,4.50
,Paper bag,1.67
,Pile of leaves,3.50
,Planter,3.36
,Scratching board,4.00
,Scratching log,3.45
,Scratching post,27.30
,Sheep cushion,2.20
,Shopping box (large),3.45
,Snow sled,19.97
,Stump house,3.50
,Tail-thing teaser,53.00
,Tent (modern red),16.59
,Tent (nature),34.32
,Three-tier cat tree,1.82
,Tiramisu cube,3.10
,Tower of treats,17.78
,Tunnel (3D piece),12.68
,Tunnel (I piece),4.00
,Tunnel (T piece),7.94
,Tunnel (U piece),3.00
,Two-tier cat tree,3.00
,Zebra grass gadget,2.33
Billy the Kitten / Kid-san,Cowboy hat,3.23
Bob the Cat / Yamaneko-san,Cat metropolis,17.68
Bolt / Kijitora-san,Arabesque blanket,7.00
,Beach umbrella,25.17
,Biscuit mat,95.42
,Burger cushion,7.20
,Butterfly swarm,6.50
,Cardboard café,8.32
,Carp tunnel,8.11
,Cat condo complex,6.06
,Cat macaroon (green),7.25
,Cat macaroon (pink),9.25
,Cat metropolis,5.21
,Cat pancake,19.67
,Chestnut cushion,28.53
,Choco cornet tunnel,19.27
,Cosy blanket (red),11.25
,Cosy blanket (yellow),11.00
,Cowboy hat,10.33
,Cream-puff house,7.40
,Doughnut tunnel,8.38
,Earthenware pot,43.09
,Fish-stick tunnel,6.17
,Fruit basket,22.16
,Gift box,10.50
,Glass vase,11.65
,Goldfish bowl,51.57
,Heating stove,24.88
,Honey pot,6.50
,Kick toy (bunny),25.40
,Kick toy (fish),24.67
,Kick toy (saury),23.68
,Kotatsu,33.52
,Lacquered bowl,8.33
,Pancake cushion,12.00
,Pile of leaves,21.07
,Pillow (green),9.67
,Pillow (purple),10.67
,Pillow (yellow),18.50
,Rice kettle,9.22
,Sakuramochi cushion,24.86
,Sheep cushion,11.92
,Shipping box (small),11.11
,Sunken fireplace,8.33
,Thick cooling pad,58.41
,Tiramisu cube,21.04
,Tower of treats,19.14
,Two-tier cat tree,9.00
,Watermelon ball,8.80
,Wood pail,5.40
Breezy / Shirokiji-san,Arabesque blanket,3.33
,Basket case,3.44
,Biscuit mat,24.86
,Burger cushion,3.00
,Cardboard choo-choo,2.70
,Cardboard house,2.38
,Cat condo complex,17.08
,Cat metropolis,14.74
,Cat pancake,35.67
,Colourful sock,2.67
,Cosy blanket (red),4.00
,Cosy blanket (yellow),3.25
,Cow tunnel,2.00
,Cowboy hat,27.10
,Cushion (brown),4.40
,Cushion (green),4.00
,Dice cube,3.29
,Earthenware pot,12.58
,Fluffy bed (brown),3.36
,Fluffy cushion,22.06
,Giant cushion,35.67
,Gift box,3.85
,Glass vase,5.00
,Hammock (pink),4.00
,Heating stove,2.58
,Kotatsu,15.46
,Lucky cushion,2.80
,Pancake cushion,27.83
,Panel heater,2.71
,Paper bag,10.69
,Paper umbrella,12.25
,Pile of leaves,3.67
,Pillow (green),2.00
,Pillow (purple),25.89
,Pillow (yellow),20.29
,Plastic bag,8.56
,Plum cushion (red),30.86
,Pom-pom sock,4.75
,Rubber ball (yellow),80.29
,Sakuramochi cushion,4.00
,Shipping box (small),3.14
,Space heater,12.27
,Stump house,2.50
,Sunken fireplace,22.67
,Tent (modern red),3.44
,Tent (nature),3.63
,Thick cooling pad,21.50
,Tiramisu cube,4.57
,Tower of treats,1.33
,Twisty rail,3.33
,Two-tier cat tree,33.10
,Warm sock,3.20
Callie / Mike-san,Arabesque blanket,32.29
,Ball of yarn,8.58
,Basket case,36.33
,Biscuit mat,35.50
,Cardboard café,11.73
,Cardboard house,3.00
,Cat condo complex,39.25
,Cat metropolis,1.36
,Cat pancake,59.50
,Cosy blanket (red),3.75
,Cosy blanket (yellow),3.00
,Cowboy hat,26.00
,Cushion (brown),2.83
,Cushion (yellow),27.70
,Dice cube,2.60
,Earthenware pot,16.07
,Fluffy bed (brown),4.00
,Fluffy bed (white),3.33
,Giant cushion,2.41
,Glass vase,3.50
,Goldfish bowl,2.80
,Hammock (pink),2.40
,Hammock (woven),12.53
,Hammock (yellow),3.00
,Hot mat (large),16.12
,Hot mat (small),3.00
,Hot-water bottle,151.00
,Kotatsu,7.54
,Lacquered bowl,18.83
,Large cooling mat,3.33
,Lucky cushion,2.33
,Luxurious hammock,24.35
,Navy-blue cube,3.69
,Orange cube,18.70
,Paper umbrella,35.00
,Pillow (green),3.56
,Pillow (purple),2.59
,Plastic bag,1.00
,Pom-pom sock,3.25
,Rice kettle,2.50
,Shipping box (small),3.00
,Space heater,10.33
,Stump house,27.33
,Sunken fireplace,34.35
,Tiramisu cube,3.40
,Tower of treats,1.50
,Two-tier cat tree,3.55
,Warm sock,2.60
,Wood pail,6.04
Chairman Meow / Nabeneko-san,Earthenware pot,27.88
,Sunken fireplace,102.50
Cocoa / Chahachi-san,Arabesque blanket,5.00
,Art deco cat tree,2.25
,Beach umbrella,9.49
,Biscuit mat,4.20
,Burger cushion,2.50
,Cardboard choo-choo,3.50
,Cardboard house,30.78
,Carp tunnel,1.75
,Choco cornet tunnel,101.67
,Cool aluminum pad,5.33
,Cosy blanket (red),5.00
,Cosy blanket (yellow),2.40
,Cow tunnel,27.10
,Cushion (beige),4.00
,Cushion (green),5.00
,Cushion (pink),3.33
,Cushion (yellow),4.13
,Dice cube,4.19
,Doughnut tunnel,2.29
,Fairy-tale parasol,48.40
,Fish-stick tunnel,3.00
,Fluffy bed (brown),5.00
,Fluffy bed (pink),4.50
,Fluffy bed (white),4.71
,Fluffy cushion,4.83
,Gift box,4.00
,Glass vase,6.00
,Goldfish bowl,4.75
,Hammock (pink),5.00
,Hammock (woven),28.00
,Hammock (yellow),3.50
,Heating stove,2.50
,Hot mat (small),4.00
,Hot-water bottle,3.88
,Kotatsu,14.22
,Large cooling mat,21.09
,Lucky cushion,2.00
,Luxurious hammock,4.27
,Marble pad,4.75
,Navy-blue cube,5.25
,Orange cube,12.30
,Pancake cushion,4.00
,Panel heater,4.50
,Paper bag,62.30
,Paper umbrella,25.11
,Pile of leaves,19.70
,Pillow (green),3.00
,Pillow (purple),6.00
,Pillow (yellow),5.00
,Ping pong ball,3.00
,Plastic bag,28.00
,Plum cushion (red),5.60
,Rubber ball (blue),4.30
,Rubber ball (red),11.92
,Rubber ball (yellow),65.33
,Scratching board,4.80
,Scratching log,5.00
,Scratching post,5.00
,Sheep cushion,8.00
,Shipping box (small),4.20
,Silk crepe pillow,4.00
,Snow sled,2.43
,Space heater,30.57
,Sunken fireplace,4.00
,Tent (blizzard),39.07
,Tent (modern red),4.75
,Tent (nature),30.73
,Tent (pyramid),3.45
,Thick cooling pad,3.80
,Tiramisu cube,4.00
,Tower of treats,1.50
,Toy capsule,26.44
,Tunnel (3D piece),43.89
,Tunnel (I piece),5.00
,Tunnel (T piece),2.00
,Tunnel (U piece),7.00
,Twisty rail,4.00
,Watermelon ball,4.36
Conductor Whisker / Ekichou-san,Cardboard choo-choo,19.33
,Twisty rail,36.45
Dottie / Shiromike-san,Art deco cat tree,1.83
,Burger cushion,3.83
,Cardboard choo-choo,3.80
,Carp tunnel,32.40
,Cat macaroon (green),2.25
,Cat macaroon (pink),24.00
,Cat pancake,13.43
,Chestnut cushion,3.62
,Choco cornet tunnel,11.81
,Cow tunnel,2.56
,Cowboy hat,21.97
,Cream-puff house,23.86
,Dice cube,3.83
,Doughnut tunnel,3.25
,Fish-stick tunnel,3.00
,Fluffy bed (pink),52.80
,Fluffy bed (white),4.67
,Hammock (pink),5.50
,Hammock (woven),4.83
,Hammock (yellow),3.60
,Hot mat (large),10.39
,Kick toy (bunny),3.67
,Kick toy (fish),10.48
,Kick toy (mouse),3.00
,Kick toy (saury),3.71
,Large cooling mat,200.00
,Luxurious hammock,3.69
,Maple pillow,3.22
,Navy-blue cube,5.00
,Orange cube,29.35
,Pancake cushion,4.00
,Pillow (green),3.00
,Pillow (purple),4.50
,Pillow (yellow),3.00
,Plum cushion (red),63.20
,Royal bed,91.00
,Sakura pillow,12.29
,Sakuramochi cushion,4.30
,Sheep cushion,4.50
,Silk crepe pillow,3.60
,Snowy pillow,20.44
,Space heater,2.25
,Stump house,4.50
,Sunken fireplace,2.88
,Temari ball,15.29
,Tiramisu cube,4.00
,Tower of treats,2.00
Fred / Chatora-san,Art deco cat tree,6.54
,Bureau with pot,7.45
,Cardboard café,11.36
,Cardboard choo-choo,41.81
,Cardboard house,26.71
,Cat condo complex,17.77
,Cat metropolis,16.13
,Cool aluminum pad,36.93
,Cosy blanket (red),16.00
,Cow tunnel,7.67
,Cowboy hat,28.56
,Cushion (brown),13.67
,Cushion (green),54.89
,Giant cushion,48.37
,Glass vase,15.50
,Hammock (yellow),12.86
,Hot mat (small),16.33
,Hot-water bottle,15.00
,Kick toy (fish),16.83
,Kick toy (mouse),14.00
,Kick toy (saury),13.67
,Kotatsu,10.22
,Large cooling mat,18.97
,Royal bed,25.83
,Rubber ball (blue),14.40
,Scratching board,11.14
,Scratching post,14.25
,Shipping box (small),10.50
,Silk crepe pillow,28.74
,Snow sled,36.71
,Snowy pillow,19.75
,Soccer ball,23.30
,Space heater,16.40
,Tent (blizzard),26.67
,Thick cooling pad,27.83
,Three-tier cat tree,10.31
,Tower of treats,6.21
,Tunnel (3D piece),18.91
,Tunnel (U piece),13.00
,Two-tier cat tree,13.54
,Watermelon ball,10.00
Frosty / Yukineko-san,Bureau with pot,9.00
,Snowy pillow,13.25
Gabriel / Hachiware-san,Art deco cat tree,2.00
,Beach umbrella,31.21
,Black head space,4.75
,Cardboard café,19.65
,Cardboard choo-choo,19.00
,Cardboard truck,4.91
,Cat condo complex,28.60
,Cat macaroon (green),3.67
,Cat macaroon (pink),3.17
,Cat metropolis,1.93
,Cool aluminum pad,4.79
,Cream-puff house,3.00
,Cushion (beige),4.53
,Earthenware pot,29.00
,Head space,20.11
,Hot mat (large),33.94
,Hot mat (small),40.27
,Hot-water bottle,47.57
,Kick toy (fish),5.00
,Kick toy (saury),29.67
,Kotatsu,21.85
,Lacquered bowl,24.64
,Panel heater,35.35
,Pillow (green),69.00
,Pillow (purple),5.00
,Pillow (yellow),5.00
,Scratching log,3.71
,Silk crepe pillow,18.42
,Snow sled,16.15
,Soccer ball,3.50
,Sunken fireplace,14.10
,Tower of treats,2.33
,Two-tier cat tree,4.00
,Zanzibar cushion,18.31
Ganache / Choco-san,Beach umbrella,2.75
,Cream-puff house,1.33
,Fairy-tale parasol,10.95
,Fluff-thing teaser,153.50
,Pancake cushion,2.00
,Tower of treats,1.33
Ginger / Akage-san,Arabesque blanket,7.00
,Ball of yarn,56.78
,Black head space,4.85
,Bureau with pot,3.00
,Burger cushion,4.80
,Cake box,4.00
,Carp tunnel,5.00
,Cat condo complex,1.83
,Cat metropolis,2.50
,Choco cornet tunnel,3.50
,Cowboy hat,16.21
,Dice cube,5.00
,Earthenware pot,46.33
,Fish-stick tunnel,3.00
,Fruit basket,32.00
,Glass vase,5.00
,Head space,52.33
,Honey pot,101.50
,Kotatsu,39.86
,Lacquered bowl,4.73
,Large cooling mat,4.00
,Maple pillow,6.00
,Mister dragonfly,5.33
,Navy-blue cube,6.25
,Orange cube,25.04
,Pancake cushion,53.80
,Paper bag,52.80
,Pickling pot,2.00
,Pile of leaves,64.20
,Plastic bag,3.60
,Rice kettle,53.60
,Sakura pillow,5.50
,Sheep cushion,103.50
,Shopping box (large),6.33
,Snow sled,2.25
,Snowy pillow,40.18
,Tent (blizzard),5.25
,Tent (modern red),6.50
,Tent (nature),5.00
,Tiramisu cube,5.00
,Tunnel (3D piece),2.57
,Tunnel (I piece),3.00
,Wood pail,5.00
Gozer / Tobi-san,Art deco cat tree,14.83
,Baseball,29.19
,Bean bag,13.45
,Bureau with pot,77.00
,Busy bee,20.54
,Butterfly swarm,15.92
,Cardboard café,3.76
,Cardboard choo-choo,3.10
,Cardboard house,27.91
,Cardboard truck,4.75
,Cat condo complex,19.44
,Cat metropolis,47.58
,Cushion (brown),4.46
,Cushion (yellow),10.94
,Earthenware pot,5.33
,Fairy-tale parasol,23.13
,Fluff-thing teaser,33.25
,Fluffy bed (brown),14.80
,Glass vase,4.92
,Heating stove,3.76
,Hot mat (large),15.92
,Kotatsu,2.87
,Luxurious hammock,3.00
,Panel heater,4.00
,Pillow (yellow),3.00
,Snow sled,14.50
,Soccer ball,5.00
,Space heater,16.50
,Sunken fireplace,5.44
,Three-tier cat tree,3.50
,Tower of treats,2.00
,Two-tier cat tree,4.29
,Wild-thing teaser,15.71
,Zanzibar cushion,25.42
Guy Furry / Bistro-san,Glass vase,13.23
,Heating stove,28.80
Jeeves / Sebasu-san,Tower of treats,30.67
Joe DiMeowgio / Tatejima-san,Baseball,26.03
Kathmandu / Maromayu-san,Lacquered bowl,65.50
,Temari ball,57.78
Lady Meow-Meow / Amesho-san,Luxurious hammock,45.58
Lexy / Haishiro-san,Art deco cat tree,7.44
,Baseball,26.42
,Basket case,27.70
,Bean bag,43.20
,Black head space,48.59
,Bureau with pot,8.07
,Cardboard café,25.20
,Cardboard choo-choo,12.13
,Cardboard house,45.27
,Carp tunnel,10.00
,Cat macaroon (green),16.33
,Cat macaroon (pink),10.33
,Cat pancake,9.70
,Chestnut cushion,38.50
,Clay pot,15.50
,Colourful sock,13.75
,Dice cube,18.80
,Earthenware pot,15.55
,Fairy-tale parasol,10.85
,Fluffy bed (brown),17.13
,Glass vase,13.00
,Goldfish bowl,17.00
,Head space,24.47
,Hot mat (small),16.44
,Kotatsu,9.92
,Lacquered bowl,13.80
,Maple pillow,13.00
,Marble pad,19.73
,Panel heater,15.83
,Paper umbrella,14.08
,Pom-pom sock,17.83
,Royal bed,15.59
,Sakura pillow,19.50
,Scratching log,38.59
,Silk crepe pillow,20.07
,Snowy pillow,16.75
,Sunken fireplace,31.55
,Temari ball,34.52
,Tent (blizzard),34.47
,Tiramisu cube,9.00
,Tower of treats,12.90
,Twisty rail,18.50
,Zanzibar cushion,19.32
Mack / Shirotora-san,Art deco cat tree,21.00
,Ball of yarn,5.00
,Baseball,4.09
,Bucket (yellow),3.78
,Bureau with pot,2.00
,Burger cushion,43.44
,Butterfly swarm,45.00
,Cardboard café,25.29
,Cardboard choo-choo,3.14
,Cardboard house,3.33
,Cat condo complex,1.83
,Cat metropolis,31.80
,Fairy-tale parasol,3.18
,Fluff-thing teaser,36.89
,Gift box,4.00
,Glass vase,2.75
,Heating stove,3.73
,Kick toy (fish),21.29
,Kick toy (mouse),5.00
,Kick toy (saury),4.60
,Kotatsu,3.71
,Mister dragonfly,2.00
,Mister mouse,29.00
,Pancake cushion,4.33
,Paper bag,2.50
,Pile of leaves,4.00
,Ping pong ball,2.00
,Plastic bag,2.00
,Rubber ball (red),27.20
,Sakuramochi cushion,4.70
,Scratching board,3.50
,Scratching post,4.20
,Shipping box (small),6.50
,Soccer ball,3.83
,Stress reliever,5.57
,Sunken fireplace,5.00
,Tent (blizzard),11.61
,Thick cooling pad,44.18
,Tower of treats,2.00
,Toy capsule,5.40
,Tunnel (3D piece),1.25
,Two-tier cat tree,8.00
,Wild-thing teaser,7.00
,Wing-thing teaser,5.50
,Zebra grass gadget,103.50
Marshmallow / Point-san,Basket case,7.00
,Bean bag,18.22
,Black head space,103.00
,Butterfly swarm,8.00
,Cardboard choo-choo,22.75
,Cat condo complex,4.00
,Cat metropolis,3.07
,Cosy blanket (red),8.29
,Cosy blanket (yellow),5.29
,Cow tunnel,4.00
,Cushion (pink),34.15
,Fluffy bed (pink),48.88
,Glass vase,10.00
,Hot mat (small),6.20
,Hot-water bottle,4.75
,Kick toy (mouse),7.00
,Kotatsu,12.53
,Maple pillow,7.36
,Marble pad,18.35
,Mister mouse,30.67
,Panel heater,5.00
,Pillow (green),5.14
,Pillow (purple),5.25
,Pillow (yellow),8.00
,Ping pong ball,7.00
,Plum cushion (pink),8.00
,Sakura pillow,19.89
,Scratching board,8.25
,Scratching log,38.80
,Scratching post,20.90
,Silk crepe pillow,7.04
,Snowy pillow,20.65
,Sunken fireplace,3.50
,Temari ball,26.15
,Three-tier cat tree,5.00
,Toy capsule,21.35
,Tunnel (3D piece),21.09
,Tunnel (T piece),9.52
,Wing-thing teaser,17.48
,Zanzibar cushion,6.00
Misty / Sabatora-san,Art deco cat tree,61.67
,Cake box,6.17
,Colourful sock,20.63
,Cool aluminum pad,6.67
,Cowboy hat,15.87
,Cushion (pink),21.72
,Cushion (yellow),32.12
,Earthenware pot,15.44
,Fluffy bed (white),8.52
,Fruit basket,18.10
,Giant cushion,23.63
,Glass vase,15.00
,Hot mat (large),22.00
,Large cooling mat,6.78
,Lucky cushion,69.00
,Marble pad,7.80
,Panel heater,5.33
,Pillow (green),7.00
,Pillow (purple),8.55
,Pillow (yellow),7.75
,Planter,9.25
,Plum cushion (pink),5.00
,Pom-pom sock,43.38
,Rubber ball (blue),56.25
,Scratching board,9.50
,Shipping box (small),7.70
,Space heater,3.86
,Tent (blizzard),3.00
,Wood pail,5.22
,Zanzibar cushion,34.94
Mr Meowgi / Osamurai-san,Sakura pillow,3.00
,Scratching log,3.60
Ms Fortune / Koikoi-san,Cardboard house,56.09
Patches / Buchi-san,Ball of yarn,13.79
,Beach umbrella,25.76
,Biscuit mat,116.25
,Bureau with pot,4.21
,Burger cushion,120.67
,Cardboard house,15.19
,Cat condo complex,10.86
,Cat metropolis,3.67
,Cosy blanket (red),7.50
,Cushion (beige),6.40
,Cushion (brown),54.80
,Cushion (pink),8.64
,Earthenware pot,23.50
,Fairy-tale parasol,26.69
,Fluffy bed (white),8.29
,Giant cushion,6.02
,Glass vase,12.00
,Hot mat (large),16.64
,Kick toy (bunny),37.13
,Kotatsu,28.72
,Large cooling mat,24.03
,Lucky cushion,7.75
,Luxurious hammock,25.64
,Paper umbrella,5.60
,Pile of leaves,8.80
,Pillow (purple),8.20
,Plum cushion (red),13.00
,Sakuramochi cushion,8.33
,Scratching log,57.00
,Space heater,4.45
,Sunken fireplace,6.80
,Temari ball,33.06
Peaches / Cream-san,Beach umbrella,12.00
,Bucket (yellow),10.00
,Bureau with pot,9.33
,Cardboard café,95.00
,Cardboard house,18.00
,Cardboard truck,19.00
,Cat condo complex,9.00
,Cat macaroon (pink),15.00
,Choco cornet tunnel,9.00
,Cushion (green),12.00
,Dice cube,12.00
,Fairy-tale parasol,12.00
,Fluffy cushion,24.00
,Glass vase,21.00
,Hammock (pink),26.00
,Hot mat (large),11.00
,Kotatsu,20.00
,Lacquered bowl,16.00
,Marble pad,25.00
,Mister mouse,16.00
,Navy-blue cube,21.00
,Paper umbrella,19.00
,Sakura pillow,2.00
,Sakuramochi cushion,27.00
,Snow sled,7.00
,Snowy pillow,18.00
,Tent (blizzard),11.00
,Tent (nature),28.00
,Tent (pyramid),14.50
,Tiramisu cube,13.00
,Tunnel (T piece),6.00
,Twisty rail,17.00
,Two-tier cat tree,23.00
,Zebra grass gadget,14.50
Pepper / Odd-san,Black head space,35.44
,Bucket (red),150.00
,Bucket (yellow),3.50
,Bureau with pot,3.25
,Burger cushion,6.86
,Cardboard choo-choo,4.00
,Cardboard house,4.50
,Cat pancake,4.33
,Chestnut cushion,3.00
,Clay pot,4.00
,Colourful sock,6.17
,Cowboy hat,7.18
,Cushion (brown),68.00
,Dice cube,30.50
,Hammock (woven),7.33
,Head space,24.60
,Honey pot,5.29
,Hot mat (small),7.00
,Hot-water bottle,7.67
,Kotatsu,3.90
,Lacquered bowl,4.00
,Navy-blue cube,6.43
,Orange cube,29.88
,Pancake cushion,30.50
,Paper bag,4.00
,Pickling pot,5.67
,Plastic bag,5.00
,Royal bed,6.00
,Scratching board,7.00
,Scratching log,24.60
,Scratching post,6.86
,Silk crepe pillow,6.10
,Space heater,4.00
,Stump house,4.33
,Tent (nature),50.27
,Tent (pyramid),46.69
,Thick cooling pad,13.74
,Tiramisu cube,7.00
,Tunnel (I piece),7.75
,Tunnel (U piece),7.50
,Twisty rail,7.00
